year,month, pdb  (tw),pdb (interpolasi),insentif_pajak,bi_rate,inflasi,kurs_rupiah,Flag Covid,Flag Lebaran,Flag Natal,Flag Awal Tahun,index performance logistic,Customs,Infrastructure,Timelines,Tracking & Tracing,International Shipments,Logistics Competence & Quality,Pertumbuhan ekonomi,IHSG,Yield SBN,CAR,NPL,Fed Fund Rate,Ekspor,Impor,Konsumsi Rumah Tangga,Konsumsi Pemerintah,Tingkat Pengangguran,Kemiskinan,Gini Ratio,
2017,Januari,,,0,0.0475,0.0349," 13,359 ",0,0,0,1,,,,,,,,,,,,,,,,,,,,,
2017,Februari,,,0,0.0475,0.0383," 13,341 ",0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2017,Maret," 3,228,172 ",,0,0.0475,0.0361," 13,346 ",0,0,0,0,,,,,,,,"5,01",,,,,,,,,,,,,
2017,April,,,0,0.0475,0.0417," 13,307 ",0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2017,Mei,,,0,0.0475,0.0433," 13,324 ",0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2017,Juni," 3,366,787 ",,0,0.0475,0.0437," 13,297 ",0,1,0,0,,,,,,,,"5,0",,,,,,,,,,,,,
2017,Juli,,,0,0.0475,0.0388," 13,343 ",0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2017,Agustus,,,0,0.045,0.0382," 13,342 ",0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2017,September," 3,504,139 ",,0,0.0425,0.0372," 13,304 ",0,0,0,0,,,,,,,,"5,06",,,,,,,,,,,,,
2017,Oktober,,,0,0.0425,0.0358," 13,526 ",0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2017,November,,,0,0.0425,0.033," 13,528 ",0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2017,Desember," 3,490,728 ",,0,0.0425,0.0361," 13,557 ",0,0,1,0,,,,,,,,"5,19",,,,,,,,,,,,,
2018,Januari,," 850,907 ",0,0.0425,0.0325," 13,381 ",0,0,0,1,"3,15","2,67","2,9","3,67","3,3","3,23","3,1",,,,,,,,,,,,,,
2018,Februari,," 853,113 ",0,0.0425,0.0318," 13,591 ",0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2018,Maret," 3,510,363 "," 855,319 ",0,0.0425,0.034," 13,759 ",0,0,0,0,,,,,,,,"5,06",,,,,,,,,,,,,
2018,April,," 857,525 ",0,0.0425,0.0341," 13,803 ",0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2018,Mei,," 859,731 ",0,0.0475,0.0323," 14,060 ",0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2018,Juni," 3,686,836 "," 861,936 ",0,0.0525,0.0312," 14,049 ",0,1,0,0,,,,,,,,"5,27",,,,,,,,,,,,,
